Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Kenya,11.5,10.1,10.5,7.9,6.2,4.1,4.4,5.4,6.1,6.1,5.8,5.0,5.3,6.1,6.5,7.3,7.5,9.0,10.4,13.3,15.2,14.7,15.4,15.6,19.7,19.7,18.3,18.3,19.7
Lesotho,11.0,14.4,15.1,13.7,14.6,13.1,15.0,19.6,15.9,15.9,15.3,18.5,16.5,12.5,10.4,14.4,16.4,17.5,18.2,20.4,13.9,23.8,35.1,28.6,25.9,23.0,22.6,20.6,18.8
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,1.2,1.0,1.1,1.9,2.1,3.3,3.6,3.5,3.3,3.0,2.7
Madagascar,3.0,2.7,3.3,2.9,1.9,3.0,2.1,2.0,3.6,3.7,3.4,3.0,3.0,4.0,3.5,4.2,3.1,3.0,2.9,4.2,5.2,3.5,2.7,3.3,3.1,3.1,3.0,2.4,2.4
Malawi,2.3,2.5,2.6,2.5,2.6,2.7,1.8,1.1,2.0,2.6,1.4,1.3,1.0,1.1,1.3,1.1,1.8,3.0,2.4,2.5,3.2,4.1,3.4,3.5,3.2,4.2,3.2,2.6,1.9
Mali,5.9,5.5,6.1,0.0,0.0,4.9,3.2,4.2,4.0,4.0,3.9,4.1,4.0,3.9,4.2,5.5,6.2,6.7,7.2,8.0,10.0,9.8,9.7,10.3,9.2,9.3,12.8,17.6,20.3
Mauritania,22.4,19.7,19.9,19.0,18.4,13.7,13.0,13.7,15.8,16.8,10.0,12.2,14.0,18.5,12.6,21.0,0.0,21.1,25.3,0.0,36.1,32.8,0.0,0.0,37.7,37.2,36.5,32.7,32.6
Mauritius,4.5,6.1,8.7,9.8,10.6,9.8,10.6,11.9,11.4,8.5,7.3,7.7,7.9,7.5,7.9,9.0,9.0,8.9,8.8,9.4,12.6,12.3,11.9,14.0,13.2,18.4,15.6,16.5,18.0
Mozambique,4.9,6.0,6.3,5.2,4.2,4.0,4.7,2.1,2.2,2.5,2.8,3.2,3.0,2.7,2.8,3.0,3.8,2.9,2.6,3.1,3.6,3.6,4.1,4.8,5.4,6.0,6.4,5.3,3.9
Namibia,xxx,xxx,0.0,98.7,82.3,45.0,35.5,41.3,39.0,47.6,43.6,56.9,48.7,50.1,44.9,65.4,83.4,94.8,97.2,109.5,125.8,139.2,180.8,198.0,179.9,166.2,223.7,219.6,181.0
Niger,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.0,1.8,1.7,2.1,2.2,1.8,2.1,1.7,2.0,2.4,2.4,0.0,0.0,3.6,3.4,4.1,5.0,8.4,5.8,0.0,0.0,8.0
Nigeria,3.0,1.8,2.9,2.5,1.7,2.8,3.0,5.9,6.3,7.2,9.8,4.1,3.0,4.5,6.9,4.4,4.7,4.8,5.4,6.6,10.7,9.7,12.5,14.6,13.8,14.0,13.3,11.3,9.2
Rwanda,5.2,5.7,13.1,14.9,13.2,14.2,6.8,9.5,12.1,11.9,12.4,10.7,7.6,6.8,6.0,5.2,4.7,5.0,5.9,5.9,6.9,7.5,7.2,7.1,7.4,7.4,8.0,8.9,8.5
Senegal,14.9,13.7,15.7,14.2,13.7,14.6,7.8,9.3,8.9,7.7,8.0,8.1,6.3,6.8,7.2,9.1,9.8,11.0,12.8,16.2,17.7,17.1,15.1,17.2,14.3,16.6,16.3,14.2,16.3
Seychelles,173.6,185.8,210.1,231.6,282.0,174.7,157.5,151.1,135.7,145.3,133.1,138.5,127.2,134.1,139.1,142.7,182.3,165.9,159.8,167.1,121.4,93.7,76.9,92.9,105.0,144.6,322.4,180.6,189.5
Sierra Leone,2.4,3.7,3.2,5.9,6.8,6.0,6.9,6.5,4.9,2.5,0.0,0.0,5.7,7.1,6.1,6.1,4.7,4.6,5.3,5.4,4.3,4.7,4.3,4.3,4.9,5.1,7.7,6.1,4.1
Somalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,121.1,116.3,118.6,102.8,95.2,82.1,85.8,79.5,61.4,56.2,43.7,39.3,42.1,39.5,38.2,54.8,65.0,73.8,71.5,70.9,65.3,70.5,81.1,87.9,85.0,77.1,72.1,63.5,57.5
South Sudan,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,65.3,66.7,97.3,63.4,64.7,100.2,90.0,85.7,109.3,93.3,10.8
Sudan,19.8,0.0,58.9,65.5,8.4,11.3,9.5,5.6,4.2,3.7,9.7,15.7,20.9,13.5,16.4,13.1,39.8,36.4,50.2,72.2,93.6,90.1,0.0,0.0,0.0,0.0,0.0,56.7,66.1
Swaziland,10.9,10.5,16.5,18.0,23.1,25.6,27.3,29.9,26.9,25.5,25.0,24.7,23.0,18.3,16.9,29.3,39.0,53.8,52.3,54.5,57.8,64.7,85.5,87.9,73.6,68.8,64.1,57.1,51.5
Tanzania,5.2,4.3,3.4,4.1,3.6,2.1,2.0,2.9,3.3,3.8,4.2,3.9,4.0,4.3,3.9,3.4,3.4,3.6,3.7,4.0,4.5,5.0,6.2,6.5,7.4,8.8,9.8,9.7,9.9
Togo,12.0,11.4,13.4,11.8,12.3,12.3,6.1,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.8,6.0,0.0,0.0,9.4,8.9,8.9,9.0,9.3,10.5,11.7,9.6,10.9
Uganda,8.7,8.3,6.2,4.1,2.8,3.3,5.3,6.2,6.4,6.4,6.9,6.9,5.9,5.5,5.6,5.8,7.2,7.7,7.5,8.4,10.1,9.2,18.4,18.8,12.1,11.8,12.3,10.0,10.0
Zambia,11.3,21.2,17.1,10.3,11.4,5.8,7.0,6.0,4.0,4.4,0.0,5.4,0.0,0.0,0.0,0.0,8.4,11.6,16.6,18.2,21.2,16.4,20.1,21.6,23.4,25.0,28.2,23.0,17.9
Zimbabwe,41.3,40.1,39.7,34.9,26.9,22.2,21.6,22.5,24.6,25.8,25.0,21.3,27.7,22.7,53.3,15.2,19.9,10.1,12.3,0.0,0.0,0.0,7.0,13.9,21.9,23.9,24.1,24.1,22.4
Belize,0.0,23.7,25.4,24.8,27.2,31.0,39.2,38.9,37.3,42.4,0.0,0.0,28.8,29.2,29.9,31.8,34.4,37.8,42.2,46.1,61.1,55.0,47.7,46.8,45.2,51.7,51.2,53.1,56.2
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,5.5,7.0,6.8,7.4,7.9,8.2,8.3,8.3,11.2,10.5,11.0,10.4,0.0
Dominican Rep.,6.9,7.6,6.7,4.6,8.5,12.6,13.0,10.7,13.3,18.5,19.2,20.8,28.8,35.2,30.8,17.4,16.8,29.5,27.7,28.9,34.6,32.8,35.9,34.8,39.0,37.3,42.1,43.5,42.9
El Salvador,35.0,41.1,31.2,27.3,24.9,21.3,19.8,20.0,19.6,19.7,19.3,19.9,19.0,25.8,27.5,21.5,21.6,22.3,23.8,27.7,28.8,31.5,33.3,36.4,36.9,39.0,38.2,40.5,37.8
Guatemala,16.8,17.0,14.4,12.7,16.0,14.6,15.1,15.3,13.3,12.2,12.6,10.8,13.5,16.4,12.9,14.2,8.9,7.9,9.7,9.9,11.8,10.2,11.5,13.1,14.6,15.9,16.5,16.8,16.3
