name,check_in,check_out,adults,rooms,address,provider,reviews,rating,price,range
Moderne Hotel,12/9/2017,12/10/2017,2,1,"243 W 55th St, New York City, NY 10019",Cancelon,"1,883",4.5,447,202-525
The Towers at Lotte New York Palace,12/9/2017,12/10/2017,2,1,"455 Madison Avenue, New York City, NY 10022",,"1,121",5,495,406-1705
The Whitby Hotel,12/9/2017,12/10/2017,2,1,"18 W 56th St, New York City, NY 10019",Priceline,35,4.5,995,630-1144
Room Mate Grace,12/9/2017,12/10/2017,2,1,"125 West 45th Street, New York City, NY 10036-4004",,"1,047",4.5,332,159-450
The Tuscany - A St Giles Signature Hotel,12/9/2017,12/10/2017,2,1,"120 East 39th Street, New York City, NY 10016-0906",Expedia.com,"1,883",4.5,409,223-492
The Knickerbocker,12/9/2017,12/10/2017,2,1,"6 Times Square, New York City, NY 10036",TripAdvisor,"2,354",4.5,472,286-695
Salisbury Hotel,12/9/2017,12/10/2017,2,1,"123 W 57th St, New York City, NY 10019-2200",Official Hotel,"3,955",4,384,108-457
The Grant Hotel,12/9/2017,12/10/2017,2,1,"306 W 94th St, New York City, NY 10025-6828",,42,3,131,99-389
Saint Nicholas Inn,12/9/2017,12/10/2017,2,1,"154th Street, New York City, NY 10032",,,4,117,94-206
Comfort Inn Sunset Park / Park Slope,12/9/2017,12/10/2017,2,1,"353 38th St, New York City, NY 11232-2511",,35,4,863,850-877
BEST WESTERN PLUS Seaport Inn Downtown,12/9/2017,12/10/2017,2,1,"33 Peck Slip, New York City, NY 10038-1708",,972,4,414,319-509
Roger Smith Hotel,12/9/2017,12/10/2017,2,1,"501 Lexington Avenue, New York City, NY 10017-2008",Orbitz.com,"2,191",4,377,156-465
Empire Hotel,12/9/2017,12/10/2017,2,1,"44 West 63rd Street, New York City, NY 10023-7029",AMOMA,"6,206",3.5,340,156-436
Comfort Inn Times Square West,12/9/2017,12/10/2017,2,1,"343 W 44th St, New York City, NY 10036-5402",,"1,007",4,291,164-407
AKA Times Square,12/9/2017,12/10/2017,2,1,"123 W 44th St, Between 6th & Broadway, New York City, NY 10036-4089",,597,4.5,577,290-723
TRYP New York City Times Square South,12/9/2017,12/10/2017,2,1,"345 West 35th Street, Steps to Times Square, High-line, Etc, New York City, NY 10001-1701",AMOMA,"3,865",4.5,570,157-472
Mondrian Park Avenue,12/9/2017,12/10/2017,2,1,"444 Park Avenue South, New York City, NY 10016",Booking.com,33,4.5,407,279-689
Best Western Plus Hospitality House,12/9/2017,12/10/2017,2,1,"145 E 49th St, New York City, NY 10017-1210",,"1,174",4.5,354,225-690
Lafayette House,12/9/2017,12/10/2017,2,1,"38 E 4th St, New York City, NY 10003-7008",,47,4.5,399,325-495
Four Points by Sheraton Manhattan Chelsea,12/9/2017,12/10/2017,2,1,"160 W 25th St, New York City, NY 10001-7479",,"1,039",4,343,160-509
St. Marks Hotel,12/9/2017,12/10/2017,2,1,"2 Saint Marks Place, New York City, NY 10003-8099",Orbitz.com,,3.5,179,138-209
Courtyard New York Manhattan/Chelsea,12/9/2017,12/10/2017,2,1,"135 W 30th St, New York City, NY 10001-4012",Courtyard,882,4.5,370,185-532
"nyma, the New York Manhattan Hotel",12/9/2017,12/10/2017,2,1,"6 W 32nd St, New York City, NY 10001-3802",Expedia.com,"2,794",4,429,148-407
Shelburne NYC–an Affinia hotel,12/9/2017,12/10/2017,2,1,"303 Lexington Ave, New York City, NY 10016-3165",AMOMA,"4,897",4.5,342,199-503
Walker Hotel Greenwich Village,12/9/2017,12/10/2017,2,1,"52 W 13th St, New York City, NY 10011-7902",Booking.com,"1,018",4.5,445,270-541
Hampton Inn Manhattan - Madison Square Garden Area,12/9/2017,12/10/2017,2,1,"116 West 31st Street, New York City, NY 10001-3401",Booking.com,"2,000",4,436,161-461
The Manhattan Club,12/9/2017,12/10/2017,2,1,"200 West 56th Street, New York City, NY 10019-4300",Cancelon,"1,403",4,420,227-632
Avalon Hotel,12/9/2017,12/10/2017,2,1,"16 East 32nd Street, New York City, NY 10016-5402",Cancelon,"1,620",4.5,445,171-549
Hilton Garden Inn New York/Manhattan-Chelsea,12/9/2017,12/10/2017,2,1,"121 West 28th Street, New York City, NY 10001-6102",GardenInn.com,"2,064",4,424,148-465
Dream Midtown,12/9/2017,12/10/2017,2,1,"210 W 55th St, New York City, NY 10019-5467",Booking.com,269,4,769,176-561
Kimpton Muse Hotel,12/9/2017,12/10/2017,2,1,"130 West 46th Street, New York City, NY 10036-8501",,"3,258",4.5,455,235-622
citizenM New York Times Square,12/9/2017,12/10/2017,2,1,"218 West 50th Street, New York City, NY 10019-6702",,"3,008",4.5,313,203-473
Viceroy Central Park New York,12/9/2017,12/10/2017,2,1,"120 W 57th Street, New York City, NY 10019-3320",Cancelon,"1,377",4,592,280-676
Excelsior Hotel,12/9/2017,12/10/2017,2,1,"45 W 81st St, New York City, NY 10024-6025",Cancelon,"2,116",4,971,146-512
Four Points by Sheraton Manhattan SoHo Village,12/9/2017,12/10/2017,2,1,"66 Charlton St, New York City, NY 10014-4601",Booking.com,953,4,400,136-529
The Marmara Manhattan,12/9/2017,12/10/2017,2,1,"301 East 94th Street, New York City, NY 10128-4718",AMOMA,898,4.5,376,171-467
